NCI:C94832	UMLS:C0242966
NCI:C95079	UMLS:C1285445
NCI:C3440	UMLS:C0042929
NCI:C35132	UMLS:C0043202
NCI:C35133	UMLS:C0043207
NCI:C3822	UMLS:C0221026
NCI:C3978	UMLS:C0269218
NCI:C41341	UMLS:C2825032
NCI:C61246	UMLS:C0549463
NCI:C6857	UMLS:C1336978
NCI:C75008	UMLS:C1847800
NCI:C75009	UMLS:C2700265
NCI:C75485	UMLS:C1802395
NCI:C84788	UMLS:C0037769
NCI:C85225	UMLS:C0043068
NCI:C85226	UMLS:C0265313
NCI:C85232	UMLS:C0175702
NCI:C85236	UMLS:C2827598
NCI:C85238	UMLS:C0221348
NCI:C85865	UMLS:C2828000
NCI:C89799	UMLS:C0265498
NCI:C89801	UMLS:C2936741
NCI:C94360	UMLS:C0042979
NCI:C99109	UMLS:C0265221
NCI:C26323	UMLS:C1512377
NCI:C26326	UMLS:C1335003
NCI:C26695	UMLS:C0003462
NCI:C26812	UMLS:C0023308
NCI:C26848	UMLS:C0031142
NCI:C26900	UMLS:C0041408
NCI:C27588	UMLS:C1335024
NCI:C27672	UMLS:C1334999
NCI:C27871	UMLS:C0494261
NCI:C2931	UMLS:C0007222
NCI:C2934	UMLS:C0007682
NCI:C3013	UMLS:C0014173
NCI:C3186	UMLS:C0023531
NCI:C3341	UMLS:C0032927
NCI:C34387	UMLS:C0003125
NCI:C34391	UMLS:C0035615
NCI:C34842	UMLS:C1567741
NCI:C3507	UMLS:C0021053
NCI:C35092	UMLS:C0041671
NCI:C35117	UMLS:C0042373
NCI:C35257	UMLS:C0205710
NCI:C35516	UMLS:C0744333
NCI:C35710	UMLS:C0271742
NCI:C35742	UMLS:C0039978
NCI:C35861	UMLS:C0333987
NCI:C3673	UMLS:C0178417
NCI:C3853	UMLS:C0333355
NCI:C3957	UMLS:C0267573
NCI:C4083	UMLS:C0333983
NCI:C4435	UMLS:C0345903
NCI:C45667	UMLS:C1711322
NCI:C4786	UMLS:C0497327
NCI:C54705	UMLS:C1882062
NCI:C5562	UMLS:C1302712
NCI:C5563	UMLS:C1332319
NCI:C61283	UMLS:C0085278
NCI:C7077	UMLS:C1333132
NCI:C75462	UMLS:C0162635
NCI:C7659	UMLS:C1333801
NCI:C7757	UMLS:C0268134
NCI:C8278	UMLS:C2242489
NCI:C82995	UMLS:C0334000
NCI:C8356	UMLS:C0334001
NCI:C84397	UMLS:C0221757
NCI:C84549	UMLS:C0268425
NCI:C84552	UMLS:C0002636
NCI:C84559	UMLS:C1563715
NCI:C88413	UMLS:C0003431
NCI:C92190	UMLS:C0178546
NCI:C92196	UMLS:C0009241
NCI:C92636	UMLS:C0004444
NCI:C92642	UMLS:C0860625
NCI:C94694	UMLS:C0341305
NCI:C97160	UMLS:C1263846
NCI:C97179	UMLS:C0524528
NCI:C99081	UMLS:C0268611
NCI:C101223	UMLS:C0152095
NCI:C101362	UMLS:C0152096
NCI:C103233	UMLS:C0546982
NCI:C26731	UMLS:C0010034
NCI:C26767	UMLS:C0015397
NCI:C26801	UMLS:C0021831
NCI:C26835	UMLS:C0027765
NCI:C26871	UMLS:C0035204
NCI:C27550	UMLS:C1335011
